LONGITUDE,LATITUDE,2015,2016,2017,2018,2019
31.0128,-17.8609,321,286,299,125,388
31.27368927,-20.40028,56,35,135,97,47
31.1075,-17.6974,154,92,128,54,61
31.0864,-17.8787,52,45,51,17,13
32.85083008,-18.502,806,581,423,450,670
32.85197067,-18.49153,392,390,187,85,142
32.03989029,-18.28597,425,102,280,74,107
30.97216988,-17.59243,88,31,37,35,46
29.53778076,-16.86944,72,70,6,19,96
30.9945,-17.8846,69,38,48,23,32
31.0891,-17.7997,0,0,0,0,0
31.0856,-17.8187,82,33,50,46,17
27.30167007,-20.145,0,0,3,0,0
31.6511097,-21.07347,334,339,1605,2336,2899
30.69062996,-17.29543,36,5,6,5,10
30.59094048,-19.56742,4,3,6,1,4
29.77916908,-17.69417,17,15,15,11,14
30.48453,-18.1878,11,4,0,2,3
28.55385971,-21.25589,1,1,0,0,1
32.76974869,-18.60322,99,59,82,36,73
30.99,-17.9249,61,27,85,38,50
28.78455925,-20.30364,7,2,9,3,1
30.99430084,-17.56592,218,47,21,18,22
31.30266953,-16.357,1171,788,2975,1392,1880
32.15555954,-17.56853,536,431,163,104,76
32.25149918,-17.76861,598,658,438,454,335
31.53725052,-20.05172,0,20,35,17,12
28.53249931,-17.98611,4,2,4,3,0
30.70000076,-17.85778,0,0,0,0,0
27.46556091,-19.89528,0,3,0,1,3
32.48556137,-20.82556,336,171,1324,1067,391
26.5022,-18.3582,18,11,40,24,24
30.95999908,-16.32367,739,1105,2010,782,827
31.52172,-18.50209,20,11,27,3,3
31.62410927,-18.46728,54,22,25,20,12
28.07416916,-19.66111,7,0,0,0,1
30.10207939,-20.86708,2,1,8,1,0
32.72091,-18.91068,29,24,0,5,28
30.38619041,-20.58697,10,1,14,5,3
28.5766,-20.1797,0,0,0,0,0
27.87083054,-21.11917,0,0,2,0,1
30.71833038,-17.67083,3,2,6,4,2
28.32722092,-19.49306,0,2,0,0,1
28.85610962,-19.685,7,2,5,4,10
31.06539917,-17.44133,22,14,14,7,7
29.08530998,-20.52311,0,0,0,0,1
28.54944038,-19.46111,1,0,0,0,0
28.95332909,-18.01806,3,0,3,8,23
29.87825,-18.34778,0,0,0,0,0
26.22750092,-18.05222,17,14,9,16,10
30.03360939,-17.73194,5,2,3,0,0
29.93413925,-20.85536,12,6,27,11,2
32.08956146,-17.75797,386,147,78,81,65
31.45138931,-20.42467,128,54,164,213,47
32.67972183,-20.52528,626,1201,926,523,492
29.32280922,-21.05517,0,0,0,0,0
31.26786041,-20.30397,40,17,43,30,15
31.22244072,-20.26978,29,7,45,22,18
27.73860931,-19.49333,0,2,2,0,0
31.20145035,-16.83293,42,46,60,20,56
28.25749969,-18.345,0,0,4,1,7
31.3847,-17.7223,21,9,21,23,26
30.28710938,-19.68503,2,2,0,0,0
32.70233154,-18.63772,80,85,121,67,92
29.44861031,-18.06917,8,2,2,10,3
31.13467026,-18.05411,17,10,23,13,16
27.55833054,-18.73056,10,1,18,6,9
32.78416824,-20.16056,1099,1086,1433,171,250
30.07344055,-19.1395,0,0,0,0,1
30.50264931,-16.63361,406,85,237,258,443
31.7797,-17.8838,114,53,82,18,50
29.91167068,-18.33083,33,19,15,9,16
31.73699951,-17.78822,131,68,68,37,36
28.9383297,-17.50028,46,25,23,5,57
32.25278091,-16.84306,343,165,915,486,432
28.77222061,-21.60386,1,1,14,3,0
28.76333046,-17.7375,29,19,70,217,207
31.55252075,-16.31861,767,415,1257,725,922
27.05971909,-18.315,10,4,53,26,11
31.7326,-17.6268,53,48,36,17,58
32.86796951,-17.78936,1310,650,982,634,682
30.9683,-17.8581,51,34,67,14,30
29.35861015,-17.47306,43,30,25,22,37
